@relation output

@attribute ID numeric
@attribute fx_acidity numeric
@attribute vol_acidity numeric
@attribute citric_acid numeric
@attribute resid_sugar numeric
@attribute chlorides numeric
@attribute free_sulf_d numeric
@attribute tot_sulf_d numeric
@attribute density numeric
@attribute pH numeric
@attribute sulph numeric
@attribute alcohol numeric
@attribute quality numeric
@attribute class {Low,High}

@data
1,0.627012,0.790068,0,0.354544,0.41989,0.298954,0.302874,0.9978,0.969881,0.470588,0.749004,5,Low
2,0.660905,0.993228,0,0.485165,0.541436,0.67944,0.596839,0.9968,0.884222,0.571429,0.780876,5,Low
3,0.660905,0.857788,0.060514,0.429185,0.508287,0.407664,0.481035,0.997,0.900801,0.546218,0.780876,5,Low
4,0.948992,0.316027,0.847201,0.354544,0.414365,0.462019,0.534483,0.998,0.873169,0.487395,0.780876,6,High
5,0.627012,0.790068,0,0.354544,0.41989,0.298954,0.302874,0.9978,0.969881,0.470588,0.749004,5,Low
6,0.627012,0.744921,0,0.335884,0.414365,0.353309,0.356322,0.9978,0.969881,0.470588,0.749004,5,Low
7,0.669378,0.677201,0.090772,0.298563,0.381215,0.407664,0.525575,0.9964,0.911854,0.386555,0.749004,5,Low
8,0.618539,0.733634,0,0.223922,0.359116,0.407664,0.187069,0.9946,0.936723,0.394958,0.796813,7,High
9,0.660905,0.654628,0.030257,0.373204,0.403315,0.244598,0.160345,0.9968,0.928433,0.478992,0.756972,7,High
10,0.635486,0.564334,0.544629,1.138272,0.392265,0.462019,0.908621,0.9978,0.92567,0.672269,0.836653,5,Low
11,0.5677,0.654628,0.121029,0.335884,0.535912,0.407664,0.579023,0.9959,0.906328,0.453782,0.733068,5,Low
12,0.635486,0.564334,0.544629,1.138272,0.392265,0.462019,0.908621,0.9978,0.92567,0.672269,0.836653,5,Low
13,0.474496,0.694131,0,0.298563,0.491713,0.434842,0.525575,0.9943,0.989224,0.436975,0.788845,5,Low
14,0.660905,0.688488,0.438729,0.298563,0.629834,0.244598,0.258333,0.9974,0.900801,1.310924,0.7251,5,Low
15,0.754109,0.699774,0.272315,0.709088,0.972376,1.413235,1.291667,0.9986,0.873169,0.739496,0.733068,5,Low
16,0.754109,0.699774,0.287443,0.727748,0.939227,1.386058,1.318392,0.9986,0.875933,0.781513,0.733068,5,Low
17,0.720217,0.316027,0.847201,0.335884,0.508287,0.951216,0.917529,0.9969,0.911854,0.630252,0.836653,7,High
18,0.686324,0.632054,0.423601,0.317223,2.033149,0.434842,0.498851,0.9968,0.859353,1.07563,0.741036,5,Low
19,0.627012,0.665914,0.121029,0.821049,0.475138,0.163066,0.258333,0.9974,0.93396,0.420168,0.717131,4,Low
20,0.669378,0.361174,0.771558,0.335884,1.883978,0.462019,0.498851,0.9969,0.840011,0.907563,0.733068,6,High
21,0.754109,0.248307,0.726172,0.335884,0.425414,0.788151,0.534483,0.9968,0.936723,0.445378,0.749004,6,High
22,0.643959,0.440181,0.468986,0.429185,0.453039,0.625085,0.632472,0.9982,0.972644,0.546218,0.772908,5,Low
23,0.669378,0.485327,0.3177,0.298563,0.585635,0.271776,0.329598,0.9966,0.875933,0.764706,0.756972,5,Low
24,0.720217,0.553047,0.166415,0.429185,0.464088,0.244598,0.596839,0.9968,0.875933,0.445378,0.749004,5,Low
25,0.584647,0.451467,0.2118,0.447845,0.469613,0.57073,0.356322,0.9968,0.947776,0.529412,0.772908,6,High
26,0.533808,0.440181,0.242057,0.261243,0.441989,0.298954,0.204885,0.9955,0.922907,0.470588,0.741036,5,Low
27,0.643959,0.462754,0.363086,0.335884,0.441989,0.10871,0.097989,0.9962,0.906328,0.495798,0.756972,5,Low
28,0.669378,0.485327,0.3177,0.298563,0.585635,0.271776,0.329598,0.9966,0.875933,0.764706,0.756972,5,Low
29,0.601593,0.801354,0,0.354544,0.441989,0.380486,0.311782,0.9972,0.958828,0.462185,0.749004,5,Low
30,0.660905,0.727991,0,0.373204,0.453039,0.217421,0.142529,0.9964,0.93396,0.495798,0.780876,6,High
31,0.5677,0.761851,0.1059,0.447845,0.491713,0.462019,0.73046,0.9958,0.92567,0.453782,0.804781,5,Low
32,0.584647,0.773138,0,0.466505,0.58011,0.597907,0.329598,0.9966,0.956065,0.478992,0.844622,6,High
33,0.703271,0.739278,0.181543,0.429185,0.458564,0.407664,1.00661,0.9966,0.875933,0.554622,0.780876,5,Low
34,0.584647,0.682844,0.181543,1.996641,0.403315,1.087104,0.739368,0.9993,0.953302,0.436975,0.749004,6,High
35,0.440603,0.361174,0.378215,0.335884,0.569061,0.353309,0.445403,0.9957,0.93396,0.462185,0.733068,5,Low
36,0.660905,0.727991,0,1.026311,0.475138,0.135888,0.160345,0.9986,0.939486,0.462185,0.76494,6,High
37,0.660905,0.677201,0.2118,0.447845,0.475138,0.081533,0.133621,0.9975,0.945012,0.504202,0.860558,6,High
38,0.686324,0.428894,0.423601,0.391864,0.364641,0.353309,0.267242,0.9968,0.892512,0.613445,0.772908,7,High
39,0.482969,1.275395,0.136157,0.279903,0.950276,0.190243,0.169253,0.994,0.967118,0.403361,0.780876,4,Low
40,0.618539,0.507901,0.544629,1.100952,0.40884,0.326131,0.775,0.9978,0.920144,0.697479,0.836653,5,Low
41,0.618539,0.507901,0.544629,1.100952,0.40884,0.326131,0.775,0.9978,0.920144,0.697479,0.836653,5,Low
42,0.745636,0.688488,0.453858,0.522486,0.486188,0.462019,0.40977,0.9976,0.900801,0.428571,0.741036,4,Low
43,0.635486,0.553047,0.302572,0.485165,1.834254,0.217421,0.124713,0.9968,0.886985,0.756303,0.836653,6,High
44,0.686324,0.744921,0.332829,0.410524,0.381215,0.244598,0.204885,0.9968,0.911854,1.008403,0.820717,5,Low
45,0.576174,0.756208,0.030257,0.335884,0.276243,0.135888,0.097989,0.9962,0.961592,0.436975,0.756972,5,Low
46,0.389764,0.586907,0.226929,0.391864,0.298343,0.217421,0.579023,0.9934,1.077646,0.470588,1.043825,4,Low
47,0.652432,1.055305,0.65053,0.410524,0.629834,0.597907,1.015518,0.997,0.898038,0.613445,0.733068,5,Low
48,0.737163,0.327314,0.786687,0.298563,0.624309,0.326131,0.329598,0.9969,0.898038,0.487395,0.756972,5,Low
49,0.542281,0.451467,0.347958,0.298563,0.364641,0.135888,0.106897,0.9958,0.922907,0.470588,0.733068,5,Low
50,0.474496,0.349887,0.559758,0.261243,0.40884,0.326131,0.855173,0.9954,0.91738,0.487395,0.733068,5,Low
51,0.745636,0.744921,0.393343,0.317223,0.40884,0.10871,0.204885,0.9971,0.870406,0.621849,0.733068,5,Low
52,0.559227,0.586907,0.060514,0.410524,0.381215,0.217421,0.133621,0.9956,0.939486,0.529412,0.749004,6,High
53,0.559227,0.564334,0.060514,0.391864,0.375691,0.163066,0.124713,0.9955,0.936723,0.537815,0.749004,6,High
54,0.72869,0.428894,0.544629,0.559806,0.447514,0.815328,1.060058,0.997,0.884222,0.470588,0.749004,5,Low
55,0.643959,0.575621,0.226929,0.522486,0.607735,0.896861,0.650288,0.9955,0.875933,0.529412,0.812749,6,High
56,0.652432,0.699774,0.060514,0.709088,0.464088,0.67944,0.400862,0.9978,0.922907,0.445378,0.756972,5,Low
57,0.86426,0.474041,0.86233,0.634447,0.38674,0.10871,0.089081,0.9971,0.840011,0.529412,0.76494,5,Low
58,0.635486,0.711061,0.181543,0.95167,0.61326,1.35888,0.979886,0.9983,0.900801,0.647059,0.749004,5,Low
59,0.660905,0.665914,0.272315,0.429185,0.41989,0.462019,0.481035,0.9975,0.947776,0.495798,0.796813,5,Low
60,0.618539,0.440181,0.468986,0.447845,0.40884,0.244598,0.40977,0.9962,0.942249,0.453782,0.749004,6,High
61,0.745636,0.451467,0.605144,0.410524,0.436464,0.516375,0.463219,0.998,0.950539,0.537815,0.733068,5,Low
62,0.652432,0.778781,0.741301,0.335884,0.635359,0.543552,0.997702,0.9968,0.886985,0.596639,0.741036,5,Low
63,0.635486,0.586907,0.242057,0.354544,0.469613,0.326131,0.311782,0.9968,0.93396,0.521008,0.756972,7,High
64,0.59312,0.829571,0.075643,0.373204,0.447514,0.353309,0.481035,0.9966,0.936723,0.478992,0.780876,5,Low
65,0.610066,0.818284,0.075643,0.867699,0.475138,0.10871,0.097989,0.9962,0.942249,0.327731,0.868526,5,Low
66,0.610066,0.818284,0.075643,0.867699,0.475138,0.10871,0.097989,0.9962,0.942249,0.327731,0.868526,5,Low
67,0.635486,0.586907,0.166415,0.279903,0.436464,0.298954,0.347414,0.9968,0.945012,0.487395,0.76494,5,Low
68,0.559227,0.795711,0.1059,0.298563,0.41989,0.163066,0.133621,0.9962,0.950539,0.487395,0.85259,5,Low
69,0.788002,0.361174,0.86233,0.373204,0.40884,0.733795,0.579023,0.9969,0.906328,0.663866,0.85259,5,Low
70,0.677851,0.795711,0.075643,0.354544,0.40884,0.217421,0.169253,0.9962,0.922907,0.798319,0.836653,6,High
71,0.652432,0.711061,0.121029,0.354544,0.41989,0.407664,0.240517,0.9967,0.91738,0.453782,0.756972,6,High
72,0.652432,0.756208,0.347958,0.391864,0.486188,0.462019,0.855173,0.9962,0.91738,0.403361,0.756972,5,Low
73,0.652432,0.778781,0.332829,0.354544,0.464088,0.489197,0.837357,0.9961,0.914617,0.403361,0.756972,5,Low
74,0.703271,0.761851,0.393343,0.391864,0.464088,0.298954,0.383046,0.9976,0.914617,0.445378,0.733068,4,Low
75,0.821895,0.361174,0.816944,0.466505,0.519337,0.760973,0.739368,0.9984,0.906328,0.689076,0.76494,5,Low
76,0.745636,0.462754,0.96823,0.410524,0.513812,0.244598,0.374138,0.9986,0.978171,0.554622,0.836653,5,Low
77,0.745636,0.462754,0.96823,0.410524,0.513812,0.244598,0.374138,0.9986,0.978171,0.554622,0.836653,5,Low
78,0.576174,0.886005,0,0.447845,0.574586,0.380486,0.267242,0.9966,0.972644,0.462185,0.85259,6,High
79,0.5677,0.846501,0.181543,0.373204,0.475138,0.326131,0.712644,0.9958,0.93396,0.436975,0.804781,5,Low
80,0.703271,0.705418,0.302572,0.279903,0.441989,0.733795,1.060058,0.9972,0.873169,0.941176,0.7251,4,Low
81,0.525335,0.507901,0.302572,0.298563,0.381215,0.081533,0.133621,0.9958,0.942249,0.470588,0.733068,5,Low
82,0.660905,0.485327,1.059002,0.354544,2.563536,0.597907,0.596839,0.9974,0.86488,1.07563,0.749004,5,Low
83,0.627012,0.564334,0.711044,0.373204,0.475138,0.57073,0.650288,0.997,0.928433,0.478992,0.7251,5,Low
84,0.618539,0.756208,0.393343,0.335884,2.21547,0.434842,0.454311,0.9969,0.873169,0.957983,0.749004,5,Low
85,0.533808,0.3386,0.726172,0.335884,0.381215,0.489197,0.543391,0.9959,0.950539,0.655462,0.820717,6,High
86,0.584647,0.620767,0.226929,0.410524,0.41989,0.516375,0.356322,0.9961,0.942249,0.495798,0.804781,5,Low
87,0.72869,0.553047,0.423601,0.354544,0.607735,0.543552,1.211495,0.9972,0.809616,1.638655,0.788845,6,High
88,0.652432,0.553047,0.393343,0.354544,0.342541,0.244598,0.27615,0.9966,0.936723,0.537815,0.76494,5,Low
89,0.788002,0.440181,0.665658,0.391864,0.59116,0.924039,1.113506,0.9978,0.867643,1.02521,0.756972,5,Low
90,0.59312,0.699774,0.121029,0.335884,0.41989,0.217421,0.213793,0.9978,0.961592,0.445378,0.717131,5,Low
91,0.669378,0.586907,0.393343,0.354544,0.436464,1.141459,1.247127,0.9964,0.892512,0.453782,0.756972,5,Low
92,0.72869,0.553047,0.423601,0.354544,0.607735,0.543552,1.211495,0.9972,0.809616,1.638655,0.788845,6,High
93,0.72869,0.553047,0.438729,0.373204,0.607735,0.516375,1.184771,0.9972,0.809616,1.663866,0.780876,5,Low
94,0.652432,0.553047,0.393343,0.354544,0.342541,0.244598,0.27615,0.9966,0.936723,0.537815,0.76494,5,Low
95,0.423657,1.151242,0.060514,0.261243,0.248619,1.114282,0.757184,0.9938,1.036198,0.403361,0.836653,4,Low
96,0.398238,0.677201,0.257186,0.429185,0.320442,0.462019,0.944253,0.9932,1.06383,0.504202,1.027888,6,High
97,0.576174,0.874718,0,0.559806,0.563536,0.217421,0.204885,0.9965,0.953302,0.470588,0.85259,5,Low
98,0.59312,0.564334,0.378215,0.373204,0.38674,0.081533,0.195977,0.9963,0.898038,0.529412,0.733068,5,Low
99,0.643959,1.015801,0.090772,0.466505,0.436464,0.135888,0.089081,0.9967,0.936723,0.470588,0.780876,5,Low
100,0.686324,0.615124,0.272315,0.354544,0.441989,0.353309,0.311782,0.9972,0.911854,0.495798,0.717131,6,High
101,0.703271,0.688488,0.453858,0.391864,0.464088,0.298954,0.445403,0.9972,0.939486,0.512605,0.812749,6,High
102,0.660905,0.564334,0.453858,0.354544,0.414365,0.217421,0.195977,0.9959,0.914617,0.470588,0.828685,6,High
103,0.686324,0.615124,0.272315,0.354544,0.441989,0.353309,0.311782,0.9972,0.911854,0.495798,0.717131,6,High
104,0.686324,0.648984,0.332829,0.391864,0.425414,0.326131,0.579023,0.9967,0.909091,0.428571,0.733068,5,Low
105,0.610066,0.553047,0.363086,0.410524,0.38674,0.135888,0.32069,0.996,0.920144,0.403361,0.749004,5,Low
106,0.686324,0.648984,0.332829,0.391864,0.425414,0.326131,0.579023,0.9967,0.909091,0.428571,0.733068,5,Low
107,0.660905,0.462754,1.028744,0.317223,2.58011,0.489197,0.614656,0.9973,0.851064,1.10084,0.741036,5,Low
108,0.525335,0.711061,0.468986,0.317223,0.486188,0.407664,0.570115,0.9969,0.956065,0.663866,0.741036,5,Low
109,0.677851,0.37246,0.801815,0.466505,0.502762,0.489197,0.712644,0.9976,0.931196,0.672269,0.76494,6,High
110,0.686324,0.886005,0.786687,0.373204,0.674033,1.005571,1.362932,0.9969,0.886985,0.579832,0.741036,5,Low
111,0.660905,0.632054,0.287443,0.335884,0.574586,0.326131,0.418678,0.9964,0.881459,0.781513,0.756972,5,Low
112,0.711744,0.699774,0.136157,0.410524,0.464088,0.298954,0.96207,0.9964,0.870406,0.554622,0.780876,5,Low
113,0.711744,0.677201,0.151286,0.410524,0.469613,0.380486,0.988794,0.9964,0.870406,0.554622,0.780876,5,Low
114,0.855787,0.349887,0.665658,0.429185,0.441989,0.597907,0.40977,0.9988,0.91738,0.563025,0.772908,6,High
115,0.660905,0.632054,0.287443,0.335884,0.574586,0.326131,0.418678,0.9964,0.881459,0.781513,0.756972,5,Low
116,0.796475,0.451467,0.468986,0.410524,0.497238,0.353309,0.552299,0.9966,0.848301,0.529412,0.836653,6,High
117,0.703271,0.609481,0.423601,0.354544,0.425414,0.298954,0.356322,0.9978,0.936723,0.512605,0.796813,6,High
118,0.660905,0.632054,0.181543,0.373204,0.453039,0.190243,0.249425,0.997,0.931196,0.420168,0.749004,6,High
119,0.745636,0.620767,0.060514,0.410524,0.657459,0.380486,0.498851,0.9962,0.886985,0.504202,0.868526,6,High
120,0.59312,0.778781,0.121029,0.335884,0.535912,0.597907,0.792817,0.9959,0.922907,0.453782,0.733068,6,High
121,0.618539,1.207675,0.136157,0.317223,0.983425,0.271776,0.792817,0.9962,0.911854,0.478992,0.717131,5,Low
122,0.745636,0.620767,0.060514,0.410524,0.657459,0.380486,0.498851,0.9962,0.886985,0.504202,0.868526,6,High
123,0.618539,0.784424,0,0.466505,0.414365,0.081533,0.115805,0.998,0.964355,0.436975,0.733068,5,Low
124,0.677851,0.801354,0,0.485165,0.441989,0.298954,0.302874,0.9976,0.950539,0.445378,0.756972,5,Low
125,0.660905,0.564334,0.257186,0.298563,0.453039,0.57073,0.908621,0.996,0.936723,0.403361,0.756972,5,Low
126,0.762583,0.699774,0.060514,0.354544,0.80663,0.733795,0.801725,0.9984,0.873169,0.588235,0.749004,5,Low
127,0.694797,1.501129,0,0.317223,0.447514,0.081533,0.106897,0.9964,0.975408,0.411765,0.868526,5,Low
128,0.686324,1.501129,0,0.335884,0.453039,0.081533,0.106897,0.9964,0.978171,0.403361,0.868526,5,Low
129,0.677851,0.665914,0.242057,0.335884,0.359116,0.081533,0.142529,0.9962,0.945012,0.773109,0.836653,7,High
130,0.516862,0.428894,0.226929,0.335884,0.39779,0.163066,0.169253,0.9955,0.945012,0.478992,0.749004,5,Low
131,0.677851,0.840858,0.847201,0.373204,0.651934,0.815328,1.193679,0.9968,0.895275,0.554622,0.749004,5,Low
132,0.474496,0.564334,0.136157,0.429185,0.270718,0.462019,0.881897,0.9937,1.00304,0.529412,1.035857,5,Low
